"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51790000100","Census Tract 1; Staunton city; Virginia",-79.07372144,38.14996779,1051,88.7725975261656,81.8268315889629,3.61560418648906,0.285442435775452,0,0.666032350142721,0,2.37868696479543,11.2274024738344,821,31437,1016,124,42.741935483871,24.1935483870968,5.2,66.9354838709677,20.584652862363,79.415347137637,85.1485148514851,18.1731684110371,NA,10.6,11.9,37.9,6.2,5.6,58.10147299509,40.5891980360065,7.06645363445008,40,100,NA
"51790000200","Census Tract 2; Staunton city; Virginia",-79.09522477,38.14516437,4352,95.2205882352941,65.7169117647059,23.3226102941176,0.229779411764706,1.49356617647059,0,0,4.45772058823529,4.77941176470588,3047,33679,4323,771,12.7107652399481,30.2204928664073,4.7,42.9312581063554,45.1919921234001,54.8080078765999,80.0287356321839,34.2830882352941,NA,11.3,17.3,41.7,7.9,9.2,47.3696795791487,42.8024868483979,5.99827850896993,29.4811952288218,42.3333333333333,4.89945738908395
"51790000300","Census Tract 3; Staunton city; Virginia",-79.09517594,38.16306292,4832,99.6688741721854,83.8576158940397,6.02235099337748,0.248344370860927,2.89735099337748,1.26241721854305,0.269039735099338,5.11175496688742,0.33112582781457,3945,36705,4797,680,0,20.7352941176471,4.1,20.7352941176471,41.06463878327,58.93536121673,80.9043478260869,16.1423841059603,NA,10.3,14.5,38.6,7.9,7.1,55.6501869547154,71.1258828417117,5.9706356392668,24.9003984063745,44.5,4.89945738908395
"51790000401","Census Tract 4.01; Staunton city; Virginia",-79.0807737,38.1770916,3719,95.9935466523259,84.7808550685668,4.19467598816886,0,2.60822801828449,0,0,4.40978757730573,4.00645334767411,2854,37500,3678,686,17.4927113702624,26.9679300291545,6.9,44.4606413994169,30.8689558514366,69.1310441485634,80.64032016008,15.2191449314332,NA,10.3,12.7,37.6,7.6,6.4,59.4389246054939,76.8556399766219,6.03046279989587,NA,14.6666666666667,34.681751418417
"51790000402","Census Tract 4.02; Staunton city; Virginia",-79.05045862,38.17917277,3876,97.6006191950464,85.8617131062951,6.34674922600619,0.180598555211558,0.180598555211558,0,0,5.03095975232198,2.39938080495356,2548,45714,3766,1003,18.8434695912263,11.3659022931206,5.1,30.209371884347,26.7660910518053,73.2339089481947,72.8448275862069,14.1382868937049,NA,10.2,11.7,35.9,7.6,5.7,57.4517631403859,57.8176979374584,6.03046279989587,NA,11,NA
"51790000500","Census Tract 5; Staunton city; Virginia",-79.03774161,38.1633977,3251,90.3106736388803,77.8529683174408,8.98185173792679,0.0307597662257767,0.46139649338665,0,0,2.98369732390034,9.68932636111966,1960,33641,2357,436,7.3394495412844,8.94495412844037,4.6,16.2844036697248,28.6224489795918,71.3775510204082,71.682289097188,22.1470316825592,NA,11,12.7,35.6,8.3,7.1,65.4883720930232,67.5348837209302,6.20745569279921,28,1.33333333333333,59.5915367182339
"51790000600","Census Tract 6; Staunton city; Virginia",-79.05461032,38.13800819,4684,94.8334756618275,75.597779675491,11.6994022203245,0,1.4730999146029,0,0.469684030742955,5.5935098206661,5.1665243381725,3271,32126,4285,839,17.0441001191895,35.6376638855781,4.9,52.6817640047676,37.3891776215225,62.6108223784775,81.8083182640145,24.402220324509,NA,10.4,15.4,38.9,7.1,7.8,53.1920326864147,50.6128702757916,6.44132877352587,29.4046164470888,3.66666666666667,54.7190279887177
