"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51049930101","Census Tract 9301.01; Cumberland County; Virginia",-78.17816925,37.62344605,3447,95.8804757760371,60.3713373948361,32.4630113141862,0.145053669857847,0,0.261096605744125,0,2.63997679141282,4.11952422396287,2602,29659,3447,558,12.1863799283154,55.1971326164875,3.2,67.3835125448029,47.1944657955419,52.8055342044581,80.4586717630196,39.6286626051639,NA,10.8,15.6,37.3,8.6,7,57.0436507936508,69.973544973545,5.20710572818101,NA,14,73.7722529158993
"51049930102","Census Tract 9301.02; Cumberland County; Virginia",-78.25050105,37.42577121,2378,100,61.5222876366695,30.7821698906644,0,0,0,0,7.69554247266611,0,1916,35014,2378,322,0,71.1180124223602,4,71.1180124223602,60.3862212943633,39.6137787056367,76.2724014336918,38.4777123633305,NA,11.4,17.5,38.9,9.8,9.1,54.0960451977401,85.3107344632768,5.20710572818101,NA,14,73.7722529158993
"51049930200","Census Tract 9302; Cumberland County; Virginia",-78.34492345,37.43397304,3920,99.234693877551,68.6479591836735,24.3877551020408,0,0,0,0,6.19897959183673,0.76530612244898,2769,29564,3908,897,0,18.8405797101449,2.1,18.8405797101449,43.9508847959552,56.0491152040448,85.8643744030564,31.3520408163265,NA,11,15,38.8,8.4,7.5,54.4347282948157,74.0787008119925,5.22596302416747,26.791277258567,27,21.7477375565611
