fips,location,unw_cent_long,unw_cent_lat,est_population,non_his,white,black,amer_indian,asian,hawaiian,other,two_or_more,hispanic,educated,med_income,below_pov,high_school,college,labor_participation,non_white,redlining,asthma_prev,smoking_prev,obesity_prev,copd_prev,particulate_matter,housing_stress
11001000101,Census Tract 1.01; District of Columbia; District of Columbia,-77.0547246,38.9085885,1181,92.3793395427604,70.8721422523285,4.91109229466554,0,3.13293818797629,2.87891617273497,1.2701100762066,9.31414055884843,7.62066045723963,1048,116875,1181,2.19465648854962,97.8053435114504,97.1139971139971,29.1278577476715,NA,8.9,5.8,17.8,2.5,9.21889787136343,31.8181818181818
11001000102,Census Tract 1.02; District of Columbia; District of Columbia,-77.06124882,38.90575637,3056,86.7473821989529,82.0353403141361,0.490837696335079,0,2.71596858638743,0,0.556282722513089,0.948952879581152,13.2526178010471,2749,117686,3056,4.83812295380138,95.1618770461986,89.1684901531729,17.9646596858639,NA,9,6,18.5,3.5,9.1441693170664209,27.8535353535354
11001000201,Census Tract 2.01; District of Columbia; District of Columbia,-77.0741566,38.90925368,2835,86.5608465608466,54.2504409171076,7.76014109347443,0,18.6596119929453,0,0.211640211640212,5.67901234567901,13.4391534391534,75,4225,64,38.6666666666667,61.3333333333333,38.4096556620518,45.7495590828924,NA,13.6,12,19.6,3.4,8.77243286562699,26.5996168582375
11001000202,Census Tract 2.02; District of Columbia; District of Columbia,-77.06960145,38.90591227,3964,90.3128153380424,77.8758829465187,2.44702320887992,0,6.45812310797175,0,0.32795156407669,3.20383451059536,9.68718466195762,2457,94151,3246,5.77940577940578,94.2205942205942,73.2729711602951,22.1241170534813,NA,9.6,6.3,16.9,3,8.77243286562699,26.5996168582375
11001000300,Census Tract 3; District of Columbia; District of Columbia,-77.07576721,38.91757636,5669,85.6059269712471,68.4953254542247,5.73293349797142,0.44099488445934,3.93367436937731,0,0.493914270594461,6.50908449461986,14.3940730287529,3765,94653,5669,3.95750332005312,96.0424966799469,83.9512855209743,31.5046745457753,NA,9.5,7,18.3,2.9,8.63441419653291,27.9021843659843
11001000400,Census Tract 4; District of Columbia; District of Columbia,-77.06590793,38.92388248,1715,83.731778425656,55.6851311953353,4.54810495626822,0,19.067055393586,0,0,4.43148688046647,16.268221574344,1313,101800,1715,13.0997715156131,86.9002284843869,62.7167630057804,44.3148688046647,NA,8.8,5.9,18.6,3.3,9.03377269041351,33.6134453781513
11001000501,Census Tract 5.01; District of Columbia; District of Columbia,-77.05168365,38.92660185,3490,89.512893982808,57.9942693409742,12.0630372492837,0,16.1604584527221,0,0.429799426934097,2.86532951289398,10.487106017192,2940,89478,3475,1.9047619047619,98.0952380952381,90.0117050331643,42.0057306590258,NA,9.2,5.6,18.3,2.3,9.20580761616654,31.7415133145258
11001000502,Census Tract 5.02; District of Columbia; District of Columbia,-77.05961533,38.92832136,3448,85.7598607888631,67.5754060324826,4.35034802784223,0,3.68329466357309,0,0.986078886310905,9.16473317865429,14.2401392111369,2565,118228,3448,4.5224171539961,95.4775828460039,92.3324150596878,32.4245939675174,NA,9.6,8.5,18.9,3.2,9.07175446472265,25.7225433526012
11001000600,Census Tract 6; District of Columbia; District of Columbia,-77.0664688,38.93627904,4367,92.1456377375773,79.0474009617586,6.52621937256698,0,3.70964048545913,0,1.35104190519808,1.51133501259446,7.85436226242272,3394,113186,4246,7.83736004714202,92.162639952858,88.9291465378422,20.9525990382414,NA,9.6,7.6,18.8,4.3,8.71069238071221,25
11001000702,Census Tract 7.02; District of Columbia; District of Columbia,-77.07786461,38.92414986,3239,90.4291447977771,54.7699907378821,22.8774313059586,0,8.42852732324792,0,0,4.35319543068848,9.57085520222291,2650,61667,3239,11.8867924528302,88.1132075471698,87.3251748251748,45.2300092621179,NA,9.2,6.2,18.4,2.1,8.77469626506883,37.1984277582001
11001000703,Census Tract 7.03; District of Columbia; District of Columbia,-77.07903514,38.92911854,2764,86.5774240231548,66.7510853835022,7.01881331403763,0,7.1273516642547,0,0.723589001447178,4.95658465991317,13.4225759768452,2427,95260,2764,10.6304079110012,89.3695920889988,94.847775175644,33.2489146164978,NA,8.4,4.2,16.7,3.6,8.67060570116098,NA
11001000704,Census Tract 7.04; District of Columbia; District of Columbia,-77.07522716,38.92997806,2404,88.1031613976705,73.2529118136439,3.49417637271215,0,7.86189683860233,0,0,3.49417637271215,11.8968386023295,1939,76037,2404,2.52707581227437,97.4729241877256,84.9011384062313,26.7470881863561,NA,9.8,7.3,19.6,3.1,8.74917321354356,NA
11001000802,Census Tract 8.02; District of Columbia; District of Columbia,-77.08736959,38.91050923,3136,89.7959183673469,65.7206632653061,10.6823979591837,0,9.5344387755102,0,0.605867346938776,3.25255102040816,10.2040816326531,2446,92900,3136,9.03515944399019,90.9648405560098,81.5181518151815,34.2793367346939,NA,9.2,7.4,18.6,3.3,8.62655950716758,29.3103448275862
11001000803,Census Tract 8.03; District of Columbia; District of Columbia,-77.08354247,38.93365006,2521,91.5509718365728,68.9805632685442,7.85402618008727,0,12.1777072590242,0,0,2.5386751289171,8.44902816342721,1687,98684,2325,1.3040901007706,98.6959098992294,67.9884643114636,31.0194367314558,NA,9.8,6.6,17.9,3.9,8.59203818877839,NA
11001000804,Census Tract 8.04; District of Columbia; District of Columbia,-77.09202276,38.92320219,3532,96.8573046432616,83.2672706681767,2.29331823329558,0,3.02944507361268,0,2.91619479048698,5.35107587768969,3.14269535673839,2068,121635,3126,4.83558994197292,95.1644100580271,61.8290258449304,16.7327293318233,NA,9.6,7.4,18.4,3.9,8.40881398099295,19.8830409356725
