state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
DC,District of Columbia,District of Columbia,11001007604,3644,9,16.1,42.9,6.1,12.2,6,76.8,5.8,17.6,13,31.8,24.3,32,39,4.8,POINT (-76.96379997 38.86610065)
DC,District of Columbia,District of Columbia,11001005600,6756,5.5,23.7,20.5,4.6,9.9,3.8,65.2,3.4,9.2,5,23.1,13.5,16.9,26.2,2,POINT (-77.05385751 38.90021244)
DC,District of Columbia,District of Columbia,11001008402,2149,5.2,23.2,26.5,5.4,9.6,3.5,68,2.9,9.5,6.4,25.9,13,20.8,28.8,2.4,POINT (-76.9910702 38.89861357)
DC,District of Columbia,District of Columbia,11001001100,4779,3.3,20.7,25.9,8,8.3,4.2,70.2,2.9,6.2,5.6,32.2,10.2,16.7,23.6,2,POINT (-77.07767045 38.95722636)
DC,District of Columbia,District of Columbia,11001008002,3031,4.7,24.5,23.5,4.6,9.2,2.7,66.8,2.3,8.9,5.2,24.7,11,20.5,28.9,1.8,POINT (-76.98275018 38.89154628)
DC,District of Columbia,District of Columbia,11001008803,2037,11.6,22.6,26.9,2.6,13,3.5,66.6,4.9,20.4,8,21.5,23.8,27.6,36.3,2.9,POINT (-76.99127487 38.91046155)
DC,District of Columbia,District of Columbia,11001009804,2473,11.8,16.4,41.8,4.7,13.9,5.6,75.4,7,23.5,13.5,29.3,29.3,35.5,42.4,5.1,POINT (-76.9977877 38.83997077)
DC,District of Columbia,District of Columbia,11001004001,3745,4.2,27.1,17.8,4.6,8.6,2.5,62.6,2.2,7.5,3.6,23.9,8.9,17.1,25.1,1.2,POINT (-77.04649772 38.92074899)
DC,District of Columbia,District of Columbia,11001009902,2905,9.4,15.6,43.2,6.8,11.8,6.3,77.6,5.6,16,12.8,32,24.3,30,38.2,5,POINT (-76.9445505 38.8717763)
DC,District of Columbia,District of Columbia,11001007708,2486,14.1,14.7,48.2,5.1,15.3,7.4,76.4,10.2,30.6,17.4,32,37.1,40.1,45.1,7,POINT (-76.96086798 38.88557884)
DC,District of Columbia,District of Columbia,11001001803,3514,13,18.3,35.3,5,11.8,4.9,71.5,5.2,18.2,10.6,28.7,24.6,29.8,37.3,3.9,POINT (-77.03973009 38.96707907)
DC,District of Columbia,District of Columbia,11001009102,4127,9.5,16.1,40.8,5.6,12.8,5.7,76.3,5.8,17.6,12.5,29.8,24.9,32,38.8,4.8,POINT (-76.98871149 38.91883046)
DC,District of Columbia,District of Columbia,11001009604,1962,9.4,15.2,43.4,6.9,11.9,6,77.8,5.6,16.1,12.7,32.6,24.4,30.1,38,4.9,POINT (-76.95838737 38.89351706)
DC,District of Columbia,District of Columbia,11001009602,3280,11.7,16.4,38.9,4.3,14.4,4.8,75.1,6.5,23.1,12,26.9,29,35,42.5,4.6,POINT (-76.9533325 38.90139309)
DC,District of Columbia,District of Columbia,11001009907,2836,11.6,16.9,38.5,4.6,13.5,4.8,74.8,5.7,21.7,11.3,27.4,27.3,33,41.7,4.3,POINT (-76.93880536 38.88277252)
DC,District of Columbia,District of Columbia,11001007804,3446,11.4,15.8,41.8,5.7,13,6,76.1,6.4,19.9,12.9,30.2,27.4,32.1,39.9,5.1,POINT (-76.93133277 38.89544497)
DC,District of Columbia,District of Columbia,11001002802,4277,12.6,23.8,22.7,3.7,9.7,3.2,63.2,3.2,13.5,6.6,24,18.6,22.7,30.2,2.2,POINT (-77.03464321 38.92944561)
DC,District of Columbia,District of Columbia,11001000901,7175,5,25.5,18.5,5,9.6,3.3,65.3,3,8,4,23.8,11.1,14.8,24.8,1.6,POINT (-77.10052427 38.93807146)
DC,District of Columbia,District of Columbia,11001011000,3715,4.9,19.2,31.3,7.4,9.2,4.6,72.7,3.5,8.4,7.5,31.5,13.3,20.8,28.2,2.7,POINT (-77.01721541 38.87030085)
DC,District of Columbia,District of Columbia,11001003500,3740,8.4,23.5,20.1,2.5,11.8,2.2,68.3,2.4,11.3,4.6,17.2,15.6,21.8,33.6,1.7,POINT (-77.02434466 38.92237852)
DC,District of Columbia,District of Columbia,11001009301,3143,6.2,19.8,32.3,6,10.2,4.4,72.4,3.7,10.8,8.5,29.3,15.8,24,31.8,3,POINT (-76.98635539 38.93072435)
DC,District of Columbia,District of Columbia,11001008001,2784,5,24,24.2,4.7,9.3,2.7,67.4,2.3,9.2,5.4,24.6,11.7,20.9,29.5,1.9,POINT (-76.98664832 38.89620149)
DC,District of Columbia,District of Columbia,11001009601,2445,11.3,15.6,41.8,5,14.1,5.8,76.3,7,21.9,13.5,29.1,29.2,34.7,41.5,5.3,POINT (-76.94436638 38.91017315)
DC,District of Columbia,District of Columbia,11001010400,4365,12.6,16.6,44.8,4.7,13.5,6.6,75,7.9,26.3,15,30.9,31.3,37.3,43.2,5.7,POINT (-76.99950659 38.8489759)
DC,District of Columbia,District of Columbia,11001007407,2587,11.6,16.8,40.3,4.5,13.7,5.2,74.7,6.4,23.3,12.4,28.1,28.1,35,42.3,4.7,POINT (-76.98510199 38.85748716)
DC,District of Columbia,District of Columbia,11001007809,2922,11.1,16.6,41.3,5.2,13,5.5,75.5,6.2,21.2,12.7,29.6,27.5,33.7,41.2,4.8,POINT (-76.93219832 38.90153003)
DC,District of Columbia,District of Columbia,11001002600,2166,4.3,18.8,33.2,7.4,9,4.7,73.6,3.1,7.6,8,32.3,13,21.4,28.2,2.8,POINT (-77.04248059 38.94518189)
DC,District of Columbia,District of Columbia,11001004600,3028,6.5,23.2,26.1,4.1,9.9,2.8,68.4,2.6,10.7,6.3,23.9,13.9,23.1,32.2,2.1,POINT (-77.01335312 38.90974503)
DC,District of Columbia,District of Columbia,11001006400,2139,11.6,16,41,5.4,13.7,6.1,74.7,7.3,21.4,13.3,30.1,28.2,32.6,39.3,5.4,POINT (-77.01185583 38.86993035)
DC,District of Columbia,District of Columbia,11001000701,4620,4,21.1,24.7,7.7,8.7,4.3,69,3.1,6.6,5.3,30.1,10.8,16.8,23.8,2,POINT (-77.07664151 38.92959124)
DC,District of Columbia,District of Columbia,11001004701,3986,9.1,18.3,31.8,4.7,11.1,4.3,70.9,4.3,15.3,9.2,26.9,21.5,24.9,34.8,3.4,POINT (-77.01359346 38.90414728)
DC,District of Columbia,District of Columbia,11001005002,6021,8,26.5,19.9,3.3,9.1,2.5,61.9,2.5,11.2,4.9,22,13.6,21.1,28.9,1.6,POINT (-77.0293215 38.90727789)
DC,District of Columbia,District of Columbia,11001001002,3442,5.1,25.5,16.9,3.9,9.7,2.4,63.2,2.6,9,3.6,21.6,11.2,16.8,25.9,1.3,POINT (-77.078887 38.93842849)
DC,District of Columbia,District of Columbia,11001000201,3916,8,28.8,8.6,0.9,12.2,1,60.1,2,10.4,1.2,9.8,14.2,14,28.4,0.6,POINT (-77.07507618 38.9094262)
DC,District of Columbia,District of Columbia,11001001401,3078,3.7,22.2,23.6,6.8,8.5,3.6,68.3,2.8,7,5,30.4,10,17.3,24.6,1.7,POINT (-77.07056585 38.96528329)
DC,District of Columbia,District of Columbia,11001009505,2630,7.5,15.5,41.1,7.6,10.7,5.6,77.9,4.4,11.4,11.5,32.5,19.9,26.8,34.5,4.3,POINT (-77.00521858 38.96191234)
DC,District of Columbia,District of Columbia,11001008302,2206,4.3,26.1,20.9,4.8,8.9,2.7,64.9,2.2,8,4.5,24.2,9.8,18,26.5,1.6,POINT (-76.99664861 38.8963171)
DC,District of Columbia,District of Columbia,11001002201,3442,9.2,18.7,34.5,5.8,10.2,4.6,73,3.8,11.8,9.7,29.3,19,26.2,33.6,3.4,POINT (-77.02328754 38.94911957)
DC,District of Columbia,District of Columbia,11001003100,2885,9.6,25,21.8,3.5,9.1,2.6,64.3,2.3,10.5,5.7,22.6,14.8,21.6,30,1.8,POINT (-77.02541713 38.93060265)
DC,District of Columbia,District of Columbia,11001006802,2084,4.3,23.3,25.7,5.1,9.1,2.9,68.8,2.2,8,5.7,25.4,11,21,29.3,1.9,POINT (-76.98143712 38.88320012)
DC,District of Columbia,District of Columbia,11001007200,2794,4.8,28.7,17.5,3.4,8.7,1.9,62,1.6,7.6,3.5,19.4,9.2,18,27.4,1.2,POINT (-77.00112577 38.8758951)
DC,District of Columbia,District of Columbia,11001009807,3072,9.8,16.5,42.4,5.5,12.6,5.7,76.3,6,19.3,13.1,30.6,25.5,33.7,40.5,4.8,POINT (-77.01176931 38.82907792)
DC,District of Columbia,District of Columbia,11001008410,1489,5.2,23.2,26.1,4.4,9.5,2.8,69.1,2.2,8.7,6,24.3,12,22.2,30.7,2,POINT (-76.99112921 38.9015585)
DC,District of Columbia,District of Columbia,11001009903,1851,9.6,17.4,37.6,5.3,12.4,4.8,75.5,4.8,16.6,10.6,27.8,23.1,30,39,4.1,POINT (-76.92119051 38.88829721)
DC,District of Columbia,District of Columbia,11001009507,1489,10.1,15.4,42.6,7.4,11.8,6.5,77.5,5.6,14.2,12.9,32.3,24.1,28.7,36.3,5.2,POINT (-76.99781378 38.95847727)
DC,District of Columbia,District of Columbia,11001000100,4890,3.8,23.2,23.1,7,8.5,3.9,67.2,2.9,7.2,4.8,29.5,10,17,23.9,1.8,POINT (-77.0605375 38.90838265)
DC,District of Columbia,District of Columbia,11001000501,3376,3.8,27.8,14.6,3.9,8.8,2,61.7,1.8,6.5,2.7,20.4,8.2,15.2,24.3,1,POINT (-77.05171083 38.92663626)
DC,District of Columbia,District of Columbia,11001009803,2758,11.1,16.7,42,4.7,13.8,5.5,75.5,6.7,23.4,13.3,29.3,28.4,36,42.9,4.9,POINT (-77.00412455 38.83593374)
DC,District of Columbia,District of Columbia,11001004002,2797,3.7,28.1,15.9,3.9,8.3,2,61.7,1.6,6.3,3.1,21.4,7.9,16.2,24.8,1,POINT (-77.04372695 38.91809148)
DC,District of Columbia,District of Columbia,11001008804,2412,11.4,17,41.2,4.9,13,5.5,74.7,6.3,21.5,12.9,30.1,27,33.8,40.7,4.8,POINT (-76.98123255 38.91023065)
DC,District of Columbia,District of Columbia,11001001500,5911,3.3,18.8,29.5,9.3,8.3,5,72.8,3.3,6.4,6.3,34.9,10.8,17.6,23.7,2.4,POINT (-77.05402384 38.97350446)
DC,District of Columbia,District of Columbia,11001007605,3447,10.5,15.7,44.2,5.3,13.7,6.2,76.6,7.3,22.2,14.6,31,28.5,35.9,41.8,5.5,POINT (-76.97523374 38.86602961)
DC,District of Columbia,District of Columbia,11001007803,3293,11.3,16.4,43,5.6,12.7,6.1,75.7,6.5,20.8,13.5,31.1,27.3,33.3,40.6,5.1,POINT (-76.94138774 38.89595633)
DC,District of Columbia,District of Columbia,11001002400,3618,8.3,20.6,30.8,5.1,10.1,3.9,70.7,3.3,11.5,8.2,27.3,16.9,24.7,32.6,2.9,POINT (-77.02239961 38.9417796)
DC,District of Columbia,District of Columbia,11001002102,4648,8.8,17.8,36.3,6,10.8,4.8,74.3,4.1,12.6,10.1,29.8,19.5,26.9,34.4,3.7,POINT (-77.0142302 38.95577126)
DC,District of Columbia,District of Columbia,11001005201,6077,4.7,28.9,16.5,3.5,8.2,2.1,60.6,1.8,8,3.3,21.2,9,17.3,26.3,1.1,POINT (-77.03410933 38.91019123)
DC,District of Columbia,District of Columbia,11001007301,3012,6.8,30.4,14.1,1.9,9.6,1.3,60.2,1.8,11.3,2.6,16.1,11.5,19.4,30,0.9,POINT (-77.01567441 38.84214364)
DC,District of Columbia,District of Columbia,11001009906,1296,11.3,15.7,43.4,5.5,13.4,6,76.3,6.8,22,13.8,30.7,28.9,34.7,41.6,5.3,POINT (-76.93589457 38.88793204)
DC,District of Columbia,District of Columbia,11001000702,3364,5.6,26.6,17,3.9,9.6,2.4,62,2.6,10.2,3.6,21.5,11.6,18.2,26.9,1.3,POINT (-77.07777002 38.92410816)
DC,District of Columbia,District of Columbia,11001001804,4480,13.9,17.2,38.8,5.2,12.2,5.9,72.5,6.3,19.8,12.8,30.3,27.7,32.3,37.9,4.8,POINT (-77.03042669 38.96706176)
DC,District of Columbia,District of Columbia,11001007504,2451,13.6,15.6,44.5,4.4,15.2,6.5,75.3,8.9,29,15.3,29.4,34.1,38.9,44.5,6.1,POINT (-76.97937275 38.86097977)
DC,District of Columbia,District of Columbia,11001003700,5763,9.6,24.1,20.2,2.8,10.7,2.3,64.6,2.7,12.6,5.1,20.2,16.3,22.4,31.2,1.7,POINT (-77.03433472 38.92285984)
DC,District of Columbia,District of Columbia,11001011100,4859,8.7,15.9,42.1,7,11.3,6.2,76.8,5.3,14,12.4,32.4,22.2,28.6,35.7,4.8,POINT (-76.96645945 38.91610464)
DC,District of Columbia,District of Columbia,11001002701,5233,8.6,24.6,23,4.3,9.4,3.2,64.1,3.1,12,5.8,24.7,15,21.2,29.4,2,POINT (-77.04170901 38.93445466)
DC,District of Columbia,District of Columbia,11001009000,2732,7.8,13.9,43.9,8,11.4,6.5,79,5.4,12.3,13.1,33.8,22,27.2,34.4,5.1,POINT (-76.95411978 38.92293214)
DC,District of Columbia,District of Columbia,11001006900,2179,4,25.1,22.5,5,8.9,2.7,66.2,2.2,7.8,4.9,25.2,9.9,19.2,27.4,1.7,POINT (-76.98730968 38.88366779)
DC,District of Columbia,District of Columbia,11001004901,2087,6.4,23.2,24.9,4.1,10.2,2.9,67.2,2.9,11.3,6.1,24,14.2,22.9,31.3,2.1,POINT (-77.02447864 38.91133497)
DC,District of Columbia,District of Columbia,11001009802,1693,14.3,15.4,43.5,4.3,15.6,6.1,75.2,9,30.1,14.8,28.1,35.8,39.4,45,6.1,POINT (-76.99651718 38.83073086)
DC,District of Columbia,District of Columbia,11001001302,6857,4.2,24.3,20.1,5.5,8.9,3.1,64.8,2.6,7.7,4.3,25.3,10.3,17,25.3,1.6,POINT (-77.0560875 38.94121257)
DC,District of Columbia,District of Columbia,11001004400,4572,4.8,29,16.7,3.2,8.4,1.8,61,1.6,8.2,3.3,20.3,9.2,18,27.3,1.1,POINT (-77.0275895 38.91702667)
DC,District of Columbia,District of Columbia,11001010300,3187,9.2,20.5,32.8,5.5,10.3,4.5,70.7,4.1,13.5,9.1,28.9,18.9,25.4,33.4,3.3,POINT (-77.02717757 38.97612913)
DC,District of Columbia,District of Columbia,11001004802,2922,7.3,21.9,26.4,4.2,10,3.2,67.6,3.1,12,6.9,24.8,16.1,22.3,31.9,2.4,POINT (-77.01888129 38.90619543)
DC,District of Columbia,District of Columbia,11001007406,3063,13.5,16.5,38.5,3.4,15.9,4.5,74.2,7.4,28.1,12,24.9,32.6,38,44.8,4.7,POINT (-76.98950499 38.85547165)
DC,District of Columbia,District of Columbia,11001003400,4347,7.7,22.9,19,2.3,12.6,1.9,69.6,2.3,10.7,4.2,16,15,21.4,34,1.5,POINT (-77.0177135 38.92149338)
DC,District of Columbia,District of Columbia,11001009204,2557,12,16.9,39.9,5.8,12.5,5.9,74.3,6.2,18.7,12.6,30.6,26.4,30.8,37.9,4.9,POINT (-76.99866439 38.92340506)
DC,District of Columbia,District of Columbia,11001008301,2279,3.9,28.3,17.5,3.9,8.7,2.1,62.6,1.9,7.4,3.4,22.2,8.5,17.5,26,1.2,POINT (-77.00079642 38.89703297)
DC,District of Columbia,District of Columbia,11001003000,3398,8,24.2,22.7,3.5,10.4,2.7,64.9,3,12.4,5.7,22.2,15.4,22.7,31,2,POINT (-77.02996177 38.92886074)
DC,District of Columbia,District of Columbia,11001001001,7436,3.5,23.2,21.6,6.4,8.5,3.4,67.5,2.6,6.5,4.5,28.3,9.5,16.1,23.8,1.6,POINT (-77.08846708 38.94894221)
DC,District of Columbia,District of Columbia,11001009810,2507,11.2,17.6,38.2,4,13.7,4.5,74.4,5.8,23.1,11.3,26.5,27.6,34.9,43,4.1,POINT (-77.00457235 38.82719989)
DC,District of Columbia,District of Columbia,11001007503,2425,12.7,15.8,42.5,4.6,14.5,6.1,75.4,7.8,25.5,14,28.8,31.6,36.6,42.8,5.6,POINT (-76.98694796 38.86395141)
DC,District of Columbia,District of Columbia,11001009501,5797,11.7,22.1,27.7,3.5,12.5,4.1,67.3,5,18,8.3,23.2,23.4,26,34.7,3.2,POINT (-77.00290984 38.94182764)
DC,District of Columbia,District of Columbia,11001005900,2998,6.4,25.7,19.2,2.8,10.1,2.3,62.9,2.5,10.9,4.6,19.8,13.2,19.9,29.1,1.6,POINT (-77.01493498 38.89602518)
DC,District of Columbia,District of Columbia,11001007808,3646,12.5,15.5,43.6,5.5,13.7,6.5,76.1,7.5,22.6,14.4,30.8,29.9,34.2,41,5.7,POINT (-76.9194109 38.89277167)
DC,District of Columbia,District of Columbia,11001008701,2407,6.6,21.2,28.8,4.6,10.2,3.2,71.4,2.7,10.4,7,24.9,14.6,23.9,32.8,2.4,POINT (-77.00628575 38.91412575)
DC,District of Columbia,District of Columbia,11001002302,2036,7.6,13.4,44.8,11.3,8.4,12.6,78,6.6,9.4,12.1,37.8,21.1,20.3,27.4,5.8,POINT (-77.0108802 38.93387891)
DC,District of Columbia,District of Columbia,11001000400,1455,4.6,20.7,26.1,7.4,8.7,4.5,69,3.7,8.3,6,32.3,12.1,17.7,24.6,2.2,POINT (-77.0658923 38.92386075)
DC,District of Columbia,District of Columbia,11001006801,1949,6,22.8,27.8,4.6,10,3.2,69.2,2.8,10.9,6.8,24.9,14.1,23.6,32,2.4,POINT (-76.98010816 38.88772288)
DC,District of Columbia,District of Columbia,11001002101,5309,11.7,19.7,31.5,4.8,10.6,4.2,70.4,3.9,14,9.1,27.4,20.7,26.8,34.5,3.2,POINT (-77.02412645 38.95590645)
DC,District of Columbia,District of Columbia,11001003600,4208,7.5,25,22.4,3.7,9.5,2.7,64.6,2.5,10.9,5.5,22.5,13.9,21.6,30,1.9,POINT (-77.02963648 38.92367277)
DC,District of Columbia,District of Columbia,11001003800,4614,5.5,26.9,18.5,3.7,8.5,2.3,62.5,2,8.3,4.1,22.5,10.4,18.6,27,1.3,POINT (-77.03917383 38.9216359)
DC,District of Columbia,District of Columbia,11001007709,2007,10.4,15.3,45.6,5.9,12.9,6.7,77.2,7.1,21,14.8,32.6,28.3,34.6,40.9,5.6,POINT (-76.96720098 38.87736942)
DC,District of Columbia,District of Columbia,11001002501,2554,11.4,19.9,34,5.8,10.7,5.1,70.4,4.7,15.3,9.9,29.8,21.4,26.3,34,3.7,POINT (-77.03175682 38.94463732)
DC,District of Columbia,District of Columbia,11001007000,2812,4.8,29.3,17.3,4,8.4,2.2,62.1,2.1,8,3.4,22,9.2,16.6,25.6,1.2,POINT (-76.99591356 38.88132752)
DC,District of Columbia,District of Columbia,11001006804,3670,18.5,23.5,34.6,2.2,11.7,3.9,65.9,5.5,30.4,9.3,22.5,30,35.6,43.9,3.4,POINT (-76.97156303 38.8882915)
DC,District of Columbia,District of Columbia,11001000801,6709,4.2,20.6,26,7.5,9.1,4.6,69.8,3.7,7.9,6,31.2,12.2,17.7,24.7,2.2,POINT (-77.09080563 38.92451537)
DC,District of Columbia,District of Columbia,11001010700,1838,5.3,27.6,14.8,3.1,9.4,2.1,60.9,2.2,8.7,3,18.9,10.6,15.8,25.8,1.1,POINT (-77.04197447 38.90400592)
DC,District of Columbia,District of Columbia,11001001901,4016,7.1,17.2,36.5,6.6,10.5,4.8,75.6,3.7,10.5,10,30.4,17.8,25.9,33.2,3.6,POINT (-77.02362012 38.96467103)
DC,District of Columbia,District of Columbia,11001001402,2998,4.2,18.8,30,8.9,8.4,5.4,71.9,3.7,7.4,6.8,33.6,12.6,17.8,24.6,2.7,POINT (-77.06309911 38.96059163)
DC,District of Columbia,District of Columbia,11001007703,5187,13.9,15.8,43.2,4.8,14.5,6.2,75.2,8.1,26.6,14.5,29.5,33.3,36.9,43.4,5.8,POINT (-76.94751245 38.88621299)
DC,District of Columbia,District of Columbia,11001005301,5051,4,28.2,15.5,3.6,8.3,2,60.7,1.7,7,3,21.1,8.4,16.4,25.2,1,POINT (-77.03893886 38.91076907)
DC,District of Columbia,District of Columbia,11001009203,2582,7.9,18.2,34.8,5.3,11.4,4.5,73.9,4.1,13.3,9.7,27.8,19.3,27.4,35.2,3.5,POINT (-77.00553186 38.92197156)
DC,District of Columbia,District of Columbia,11001009508,3290,8.6,15.7,41.6,7.1,11.5,6.1,77.1,5.3,13.5,12.5,31.7,22.7,28.5,35.7,4.8,POINT (-76.99850201 38.95383439)
DC,District of Columbia,District of Columbia,11001004100,2708,3.6,23.3,22.6,6.6,8.1,3.6,67.1,2.5,6.2,4.8,29.6,9.2,16.6,23.7,1.6,POINT (-77.05199168 38.91569666)
DC,District of Columbia,District of Columbia,11001008903,2633,8.6,15.6,41.9,5.3,13,5.6,76.8,5.9,17.6,13.1,29.8,24.6,33.7,39.3,4.8,POINT (-76.97769292 38.90411215)
DC,District of Columbia,District of Columbia,11001007304,3546,14.1,15.3,44.2,5.1,14.7,6.7,75.7,8.5,26.5,14.9,30.2,33.7,36.3,43,6.2,POINT (-76.98508012 38.84088146)
DC,District of Columbia,District of Columbia,11001002702,5226,8.8,25.9,21.1,3.9,9.3,3,62.2,3.1,12.9,5.4,24.4,15,20.9,28.7,1.8,POINT (-77.04169399 38.93018585)
DC,District of Columbia,District of Columbia,11001006600,1909,3.6,26.3,19.4,5.5,8.5,2.9,64.4,2.3,7,3.8,25.8,8.6,16.5,24.2,1.4,POINT (-76.99835901 38.88772207)
DC,District of Columbia,District of Columbia,11001007601,4355,10.4,15.9,43.3,5.7,12.9,6.2,76.4,6.6,20.1,13.6,31.4,26.9,33.3,40.1,5.2,POINT (-76.9794575 38.87113523)
DC,District of Columbia,District of Columbia,11001001600,3957,4.9,16,38.7,8.2,9.6,5.3,77.3,3.7,8.3,9.9,34.4,15,23.5,30.2,3.5,POINT (-77.03773189 38.98445013)
DC,District of Columbia,District of Columbia,11001004902,2690,6.8,26.2,19,3,9.3,2.1,62.5,2.2,10.9,4.2,20.8,12.7,21.1,29.6,1.4,POINT (-77.0243878 38.90588268)
DC,District of Columbia,District of Columbia,11001009904,2243,12.5,17.3,38.8,4.1,13.6,4.9,73.7,6.3,23.3,12,27.3,28.6,35,41.9,4.5,POINT (-76.93112851 38.88516049)
DC,District of Columbia,District of Columbia,11001010200,2324,4.3,22.2,25.7,5.7,9.2,3.4,69.4,2.5,7.1,5.8,27.1,10.9,19.8,27.7,2,POINT (-77.02329223 38.88273615)
DC,District of Columbia,District of Columbia,11001002900,3962,9,25.7,20.4,3.3,9.1,2.4,63.2,2.2,10.4,5.1,21.9,13.9,21.3,29.3,1.6,POINT (-77.02991535 38.93383163)
DC,District of Columbia,District of Columbia,11001006700,3775,3.6,26,20.1,5.2,8.6,2.7,64.8,2.2,7.1,4.1,25.7,8.8,17.4,25.3,1.4,POINT (-76.98994697 38.88758765)
DC,District of Columbia,District of Columbia,11001002002,3813,9.4,19.2,33,5.7,10.6,4.5,71.7,4.1,12.9,9.2,29.3,18.7,25.5,33.1,3.3,POINT (-77.03109277 38.95247157)
DC,District of Columbia,District of Columbia,11001005800,2830,5.5,23.5,21.9,4.5,8.5,3.2,64.3,2.8,10.2,5.3,26.3,12.9,18,27.7,1.7,POINT (-77.02502277 38.89788679)
DC,District of Columbia,District of Columbia,11001008702,1599,7.3,19.1,34.4,5,10.9,4.1,73.1,3.8,13.2,9.2,28,17.9,27.8,35.2,3.2,POINT (-77.00124274 38.91487338)
DC,District of Columbia,District of Columbia,11001000902,2092,3.4,21.1,25.6,7.8,8.4,4.2,69.9,3.2,7.2,5.5,33.2,10.2,17.6,24,1.9,POINT (-77.10745201 38.92797366)
DC,District of Columbia,District of Columbia,11001009801,1575,13.4,15.2,44.2,5.2,14.5,6.8,76,8.4,26,15,30,33.2,36.4,42.9,6.2,POINT (-76.99667025 38.83397532)
DC,District of Columbia,District of Columbia,11001008200,2918,4,27.9,17.1,4.5,8.8,2.5,62.7,2.2,7.7,3.4,23.1,8.8,16.4,24.9,1.2,POINT (-77.0006232 38.89183026)
DC,District of Columbia,District of Columbia,11001002301,2974,6.9,19.9,31.8,5.5,10.1,3.8,72.7,3.1,10.4,8.2,27.6,15.8,24.8,32.9,2.8,POINT (-77.01657548 38.94253911)
DC,District of Columbia,District of Columbia,11001007807,2139,10.9,16.6,41.1,5.2,12.9,5.4,75.6,6,20.5,12.5,29.7,26.8,33,41.1,4.7,POINT (-76.92106733 38.8985694)
DC,District of Columbia,District of Columbia,11001007502,4541,12.5,14.9,45.5,5.2,14.6,7.1,76.6,8.8,25.8,15.8,30.7,33.4,37.3,43,6.5,POINT (-76.9695065 38.85658046)
DC,District of Columbia,District of Columbia,11001009811,4365,13.3,16.4,40.9,4,15,5.4,74.6,7.6,27.5,13.1,27.2,32.2,37.5,44.4,5.1,POINT (-76.99843912 38.82665722)
DC,District of Columbia,District of Columbia,11001004300,3255,5.5,25.8,20.9,4.2,8.9,2.6,64.2,2.2,8.5,4.8,23.1,11.2,19.3,27.5,1.6,POINT (-77.03414964 38.9168099)
DC,District of Columbia,District of Columbia,11001004801,2143,6.2,24.3,24.5,4.4,9.3,3,66.3,2.5,9.8,5.9,24,12.8,21,29.8,2,POINT (-77.01953699 38.91175182)
DC,District of Columbia,District of Columbia,11001000502,3189,3.7,24.4,20.1,5.8,8.6,3,65.7,2.4,6.7,4.2,27.2,9.1,16.6,24.2,1.4,POINT (-77.05955484 38.92836237)
DC,District of Columbia,District of Columbia,11001000300,6233,4.3,27.2,16.2,3.8,9.4,2.3,62.3,2.3,8.1,3.3,21.2,9.7,16.7,25.1,1.2,POINT (-77.07550564 38.91756548)
DC,District of Columbia,District of Columbia,11001001301,3955,4,23,21.3,6,8.8,3.3,66.9,2.6,6.8,4.5,26.7,10.2,16.4,24.7,1.7,POINT (-77.05447563 38.9538104)
DC,District of Columbia,District of Columbia,11001009503,2910,5.6,16.1,39.4,7.9,10.1,5.5,77.5,3.8,9.4,10.3,32.9,16.7,24.6,32.2,3.8,POINT (-76.98454606 38.94339137)
DC,District of Columbia,District of Columbia,11001009400,4163,7.2,16.8,39.1,6.9,10.6,5.3,76.3,4.2,11.7,10.6,31.5,18.8,26.5,34.4,4,POINT (-76.97425131 38.936761)
DC,District of Columbia,District of Columbia,11001007404,3310,10.1,19.2,32.1,3.8,12.9,3.2,72.8,4.1,18.8,8.3,23.9,22.3,30.7,40.7,3,POINT (-76.98198429 38.8502728)
DC,District of Columbia,District of Columbia,11001010800,6408,8.3,27.9,10.2,1,12.7,1.2,60.3,2.6,13,1.6,11,16.1,15.8,29.1,0.8,POINT (-77.04460623 38.89736387)
DC,District of Columbia,District of Columbia,11001003302,2134,4.8,24.8,22.6,3.8,9.6,2.3,67.3,1.9,7.9,5,22,10.6,21.1,29.9,1.6,POINT (-77.0112185 38.91392309)
DC,District of Columbia,District of Columbia,11001009201,1976,6.3,22.4,23.8,3.8,11.1,3.2,68.9,2.9,9.9,6.1,22.1,14.4,21.5,30.3,2.1,POINT (-76.99896144 38.92876716)
DC,District of Columbia,District of Columbia,11001005001,1955,5.6,28,20.1,3.6,8.6,2.4,62.2,2.2,9.8,4.4,23,10.7,19.6,28.1,1.4,POINT (-77.02951116 38.91191467)
DC,District of Columbia,District of Columbia,11001007100,2911,9,21,30,4,11.9,3.9,68.5,4.8,18.1,8.3,25.6,20.6,27.9,35.2,3.1,POINT (-76.98760018 38.87768468)
DC,District of Columbia,District of Columbia,11001010100,2621,5.2,25.2,19.6,4.4,8.3,2.8,63.1,2.2,8.2,4.2,22.6,11.3,17.2,26.9,1.6,POINT (-77.03184972 38.90268978)
