state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
VA,Virginia,Fairfax,51059480300,7105,6.7,14.1,30.4,7.4,7.5,4.9,76.2,4,7.4,8.7,36,13.3,20.3,28.4,2.1,POINT (-77.25880326 38.96381939)
VA,Virginia,Manassas,51683910202,7678,20.7,17.7,25.8,3.7,9.3,3.5,71.4,4.5,17.3,8.4,26.3,23.8,34.7,35.9,1.9,POINT (-77.47143659 38.77206267)
VA,Virginia,Fairfax,51059420100,4158,16.2,15.1,27.6,5,7.8,4.2,71.8,4.1,11.5,9.2,30.7,19.9,22.9,33.8,2.2,POINT (-77.16462829 38.78709508)
VA,Virginia,Prince William,51153901221,5080,11.5,16.8,25.8,4.5,9.1,3.2,75.4,3.6,12.8,7.3,26.1,16.1,33.4,34.4,1.7,POINT (-77.31630843 38.69242175)
VA,Virginia,Norfolk,51710005702,2602,14.7,12.4,45.5,6.6,11.4,7.2,82,6.7,18.4,16.6,30.9,27.4,42,44,5.1,POINT (-76.24971851 36.89818847)
VA,Virginia,Fairfax,51059480503,3401,7.3,17.8,24.1,5.1,7.8,3.2,72.1,3,7.9,6.5,30,11.7,21.4,30,1.5,POINT (-77.36672305 38.98334315)
VA,Virginia,Spotsylvania,51177020105,2284,9.7,16.8,32.6,6.4,8.7,4.9,75.3,5.3,14.5,8.9,33.4,18.5,33.2,32,2.3,POINT (-77.66407266 38.34218004)
VA,Virginia,Shenandoah,51171040600,3619,13.1,16,36,7.5,9.3,7,77,7.7,18.5,10.9,36.6,23,37.3,33.5,3.2,POINT (-78.60643589 38.8261772)
VA,Virginia,Fairfax,51059422402,4805,10.8,18.4,23.9,4.1,8.6,2.9,70.8,3.3,11.4,6.6,26.7,14.8,24.5,34,1.6,POINT (-77.13573404 38.7634257)
VA,Virginia,Roanoke,51161031000,3856,12,15.5,37.1,7.6,9.6,7,77.7,8.2,20,12.1,36.3,24.2,36.8,32.6,3.3,POINT (-79.89159645 37.22290479)
VA,Virginia,Portsmouth,51740211400,1326,20.5,10.2,52,6.8,13.4,8.8,85,9.9,23,22.8,32.4,40.9,49.5,48.3,7.1,POINT (-76.33485664 36.82959535)
