"fips","asthma_prev","asian","hispanic","area_sqmi","uninsured","limited_english","unemployment","single_parent","house_age","mobile_homes","two_or_more","walkability","crowded_housing","park_proximity","road_proximity","toxic_poximity","percent_in_flood_zone","ozone"
24001000700,13.7,0,2.16168196624223,0.712349695756,95,10,147,241,88.5,17,3.67189813443885,17.08,0,100,48.04,93.97,0.448624224367241,0
24001000800,13.7,0.608519269776876,3.60040567951318,1.263142731652,173,0,107,40,95.78,0,5.73022312373225,16.5,0,96.42,83.57,94.56,31.9217175777555,0
24001001000,13.6,0,2.0979020979021,0.455114257582,49,15,111,104,94.98,15,4.46476600322754,17.08,3,99.41,100,0,3.6393301844584,0
24001001100,12.1,1.26493323963457,0.632466619817287,0.301684272618,31,0,47,44,96.14,0,6.1841180604357,17.67,8,45.87,100,0,6.45402070079175,0
24001001200,11.1,1.96610169491525,1.6271186440678,2.680249041232,65,0,38,50,90.9,0,3.08474576271186,10.72,0,35.36,100,16.42,4.47404192575592,0
24001001300,10.8,0.636182902584493,3.47912524850895,3.855189087596,65,56,61,76,81.27,13,3.91650099403579,11.33,0,0,100,45.78,7.71155268791592,0
24001001401,11.2,1.51849130541269,4.23708057800637,14.671612292334,139,11,68,0,73.95,81,4.40852314474651,9.61,7,6.28,59.37,0.61,0.903962575013723,0
24001001402,11.4,1.56569094622192,0.816882232811436,1.149730288478,5,0,29,34,94.08,0,1.56569094622192,13.5,8,26.06,100,0.02,7.73949631972612,0
24001001502,12.1,0,0.248508946322068,9.14822163709,107,0,63,62,74.9,61,6.21272365805169,4.5,0,20.73,7.3,0,9.00374644644762,0
24001001503,12.3,0,0.172811059907834,11.543637827494,48,20,123,5,85.36,53,2.64976958525346,3.89,0,0,0,20.42,1.15633468903177,0
24001001700,12.3,1.44386357978591,1.29449838187702,12.657309277988,88,10,109,76,75.37,88,0.970873786407767,10.21,6,0.87,49.17,6.11,0.351319679562461,0
24001001800,13,1.76812326345037,2.77847941399343,3.509303858018,171,0,145,133,82.77,35,2.87951502904774,12.39,0,36.52,100,0,1.75142473237959,0
24001001900,11.8,0.731528895391368,1.64594001463058,24.191411158286,49,2,118,44,63.54,50,1.02414045354792,7.67,5,1.44,27.08,17.82,1.07370388997078,0
