state_fips,state_name,state_abbrev,county_fips,county_name,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters
11,District of Columbia,DC,11001,District of Columbia,11001001702,Census Tract 17.02; District of Columbia; District of Columbia,0.36266367809,3285,1821,1646,184,165,405,114,81,465,590,222,29,15,1970,935,0,61,325,48
11,District of Columbia,DC,11001,District of Columbia,11001001803,Census Tract 18.03; District of Columbia; District of Columbia,0.438723455478,4218,1829,1681,832,184,532,462,561,524,1131,594,194,708,3785,1368,0,241,679,3
11,District of Columbia,DC,11001,District of Columbia,11001001804,Census Tract 18.04; District of Columbia; District of Columbia,0.23233880901,5166,2293,2088,1633,330,1088,520,249,654,1609,736,261,754,4947,1243,0,228,596,34
11,District of Columbia,DC,11001,District of Columbia,11001001901,Census Tract 19.01; District of Columbia; District of Columbia,0.297029813008,4628,1801,1654,1096,163,502,221,102,766,1379,270,113,215,3808,84,34,32,273,20
11,District of Columbia,DC,11001,District of Columbia,11001001902,Census Tract 19.02; District of Columbia; District of Columbia,0.338745045292,2273,906,852,303,88,137,79,53,342,516,210,70,55,1729,70,0,3,108,17
11,District of Columbia,DC,11001,District of Columbia,11001002001,Census Tract 20.01; District of Columbia; District of Columbia,0.244296001848,3440,1237,1170,1406,41,532,908,135,273,1054,654,78,599,3180,826,0,390,381,110
11,District of Columbia,DC,11001,District of Columbia,11001002002,Census Tract 20.02; District of Columbia; District of Columbia,0.327945772352,4392,1645,1527,531,138,203,83,51,496,1012,315,118,151,3033,249,0,12,204,86
11,District of Columbia,DC,11001,District of Columbia,11001002101,Census Tract 21.01; District of Columbia; District of Columbia,0.232044213184,6019,2556,2458,839,27,723,442,340,629,1818,568,315,310,5345,1092,0,174,694,12
11,District of Columbia,DC,11001,District of Columbia,11001002102,Census Tract 21.02; District of Columbia; District of Columbia,0.28030039945,4768,2537,2254,1042,239,577,206,265,651,894,545,75,151,4154,709,0,75,488,55
11,District of Columbia,DC,11001,District of Columbia,11001002201,Census Tract 22.01; District of Columbia; District of Columbia,0.160299125646,3465,1096,1022,334,171,93,332,126,427,862,310,9,146,2455,65,0,36,136,15
11,District of Columbia,DC,11001,District of Columbia,11001002202,Census Tract 22.02; District of Columbia; District of Columbia,0.26984475729,3232,1471,1273,667,140,478,228,147,340,855,425,125,165,2364,220,0,107,278,20
11,District of Columbia,DC,11001,District of Columbia,11001002301,Census Tract 23.01; District of Columbia; District of Columbia,0.157405677258,3233,1366,1246,511,220,269,159,68,350,731,200,85,95,2499,156,0,43,140,14
11,District of Columbia,DC,11001,District of Columbia,11001002302,Census Tract 23.02; District of Columbia; District of Columbia,0.776421778248,1602,1165,866,243,39,267,46,7,588,192,289,48,7,1026,917,0,11,483,158
11,District of Columbia,DC,11001,District of Columbia,11001002400,Census Tract 24; District of Columbia; District of Columbia,0.214830241616,3857,1613,1504,410,107,279,434,208,457,578,290,110,372,2678,313,0,121,247,83
11,District of Columbia,DC,11001,District of Columbia,11001002501,Census Tract 25.01; District of Columbia; District of Columbia,0.20983099292,2981,1096,1046,152,101,78,74,1,334,765,178,32,124,1902,364,0,187,105,59
11,District of Columbia,DC,11001,District of Columbia,11001002503,Census Tract 25.03; District of Columbia; District of Columbia,0.11278232471,2743,1798,1565,179,537,585,137,138,201,225,296,54,57,1881,1176,0,37,713,62
11,District of Columbia,DC,11001,District of Columbia,11001002504,Census Tract 25.04; District of Columbia; District of Columbia,0.120356101542,3128,1440,1427,583,70,427,194,66,300,553,495,97,262,2216,880,0,65,292,17
11,District of Columbia,DC,11001,District of Columbia,11001002600,Census Tract 26; District of Columbia; District of Columbia,0.8131887273,2630,936,900,130,32,84,76,75,566,597,343,3,172,1721,167,0,27,108,5
11,District of Columbia,DC,11001,District of Columbia,11001002702,Census Tract 27.02; District of Columbia; District of Columbia,0.184951352244,5568,2517,2294,443,241,493,424,138,535,1040,421,110,119,2544,1057,0,219,580,34
11,District of Columbia,DC,11001,District of Columbia,11001002703,Census Tract 27.03; District of Columbia; District of Columbia,0.063267832026,2430,1313,1250,144,44,233,278,58,309,325,235,16,156,1239,903,0,21,620,119
11,District of Columbia,DC,11001,District of Columbia,11001002704,Census Tract 27.04; District of Columbia; District of Columbia,0.114030978578,3215,1996,1674,326,29,630,362,153,184,414,124,23,243,2063,1460,0,198,915,0
11,District of Columbia,DC,11001,District of Columbia,11001002801,Census Tract 28.01; District of Columbia; District of Columbia,0.06637479482,3818,1857,1781,734,41,567,324,443,169,898,199,91,251,2741,1413,0,218,803,50
11,District of Columbia,DC,11001,District of Columbia,11001002802,Census Tract 28.02; District of Columbia; District of Columbia,0.088686084992,5415,2815,2777,1984,330,780,677,924,497,1229,791,249,489,4053,2349,0,338,1765,131
11,District of Columbia,DC,11001,District of Columbia,11001002900,Census Tract 29; District of Columbia; District of Columbia,0.116074616464,4576,1878,1672,747,101,241,283,182,398,1078,413,98,532,2690,459,0,86,461,15
11,District of Columbia,DC,11001,District of Columbia,11001003000,Census Tract 30; District of Columbia; District of Columbia,0.081326980872,3878,1786,1656,940,216,388,318,273,236,689,387,144,411,2681,729,0,188,750,45
11,District of Columbia,DC,11001,District of Columbia,11001003100,Census Tract 31; District of Columbia; District of Columbia,0.114602409538,3451,1902,1807,216,181,282,164,53,152,447,261,85,103,1814,800,0,69,806,3
11,District of Columbia,DC,11001,District of Columbia,11001003200,Census Tract 32; District of Columbia; District of Columbia,0.172946282758,4136,1979,1620,928,348,377,357,157,383,1029,420,135,117,2615,367,0,26,577,34
11,District of Columbia,DC,11001,District of Columbia,11001003301,Census Tract 33.01; District of Columbia; District of Columbia,0.17070341624,3706,1904,1815,294,30,37,52,32,249,374,107,35,44,1865,222,0,0,328,28
11,District of Columbia,DC,11001,District of Columbia,11001003302,Census Tract 33.02; District of Columbia; District of Columbia,0.078856314174,2373,1015,968,276,83,124,116,49,155,394,127,47,43,1357,51,0,8,129,37
11,District of Columbia,DC,11001,District of Columbia,11001003400,Census Tract 34; District of Columbia; District of Columbia,0.351915756716,3800,1349,1143,600,112,316,217,64,189,292,415,41,49,2717,428,0,0,534,1353
11,District of Columbia,DC,11001,District of Columbia,11001003500,Census Tract 35; District of Columbia; District of Columbia,0.147499072142,3955,2099,1708,366,196,487,81,156,153,153,315,74,43,2585,1399,0,51,722,1169
11,District of Columbia,DC,11001,District of Columbia,11001003600,Census Tract 36; District of Columbia; District of Columbia,0.117998948832,4630,2397,2152,658,87,377,287,128,393,472,465,70,52,2195,1395,0,9,910,210
11,District of Columbia,DC,11001,District of Columbia,11001003701,Census Tract 37.01; District of Columbia; District of Columbia,0.06673386968,2143,1366,1296,192,1,363,140,60,129,223,170,19,108,1131,1214,0,20,397,0
11,District of Columbia,DC,11001,District of Columbia,11001003702,Census Tract 37.02; District of Columbia; District of Columbia,0.046151544264,2953,1637,1478,1466,259,636,114,58,98,662,312,123,22,1915,1288,0,194,679,128
11,District of Columbia,DC,11001,District of Columbia,11001003801,Census Tract 38.01; District of Columbia; District of Columbia,0.057501398656,1495,1055,990,86,17,243,0,0,173,104,66,0,0,418,695,0,16,299,0
11,District of Columbia,DC,11001,District of Columbia,11001003802,Census Tract 38.02; District of Columbia; District of Columbia,0.079994928972,3372,2162,2029,364,66,301,109,121,183,246,227,0,19,1798,1557,0,55,1094,59
11,District of Columbia,DC,11001,District of Columbia,11001003901,Census Tract 39.01; District of Columbia; District of Columbia,0.04660830293,2642,1981,1743,119,2,287,10,73,167,243,236,0,24,1230,1790,0,16,821,26
11,District of Columbia,DC,11001,District of Columbia,11001003902,Census Tract 39.02; District of Columbia; District of Columbia,0.102901202326,1811,1303,953,82,13,43,47,12,151,394,41,108,18,878,952,0,0,367,0
11,District of Columbia,DC,11001,District of Columbia,11001004001,Census Tract 40.01; District of Columbia; District of Columbia,0.104647927774,4250,2498,2439,208,26,376,15,0,445,423,292,30,15,1292,1464,0,32,842,0
11,District of Columbia,DC,11001,District of Columbia,11001004002,Census Tract 40.02; District of Columbia; District of Columbia,0.07519529501,3146,2326,2016,169,103,271,78,105,443,341,159,28,0,944,1772,0,50,993,0
11,District of Columbia,DC,11001,District of Columbia,11001004100,Census Tract 41; District of Columbia; District of Columbia,0.304519033502,2462,1587,1410,389,26,255,35,70,552,336,74,0,110,929,968,0,55,469,13
11,District of Columbia,DC,11001,District of Columbia,11001004201,Census Tract 42.01; District of Columbia; District of Columbia,0.078969055958,3273,2293,1881,293,39,178,159,34,97,13,107,0,26,765,988,0,51,973,0
11,District of Columbia,DC,11001,District of Columbia,11001004202,Census Tract 42.02; District of Columbia; District of Columbia,0.080172535892,2486,1627,1563,408,65,287,15,79,294,42,177,0,22,953,970,0,22,950,72
11,District of Columbia,DC,11001,District of Columbia,11001004300,Census Tract 43; District of Columbia; District of Columbia,0.091388026788,4173,2699,2461,376,40,282,119,128,330,378,354,0,153,1872,1823,0,95,1516,0
11,District of Columbia,DC,11001,District of Columbia,11001004401,Census Tract 44.01; District of Columbia; District of Columbia,0.09532665329,3360,1923,1811,108,0,188,17,47,136,636,57,0,0,1483,1422,0,64,766,23
11,District of Columbia,DC,11001,District of Columbia,11001004402,Census Tract 44.02; District of Columbia; District of Columbia,0.106079980092,2464,1392,1109,216,152,84,39,42,263,245,343,37,19,1245,567,0,39,339,18
11,District of Columbia,DC,11001,District of Columbia,11001004600,Census Tract 46; District of Columbia; District of Columbia,0.168889509044,3153,1625,1563,306,42,313,136,150,348,490,462,164,9,1860,322,0,8,358,65
11,District of Columbia,DC,11001,District of Columbia,11001004702,Census Tract 47.02; District of Columbia; District of Columbia,0.126030642636,3465,2438,2231,399,87,444,173,83,290,57,218,0,4,1347,2380,0,314,1223,294
11,District of Columbia,DC,11001,District of Columbia,11001004703,Census Tract 47.03; District of Columbia; District of Columbia,0.047924524648,3069,2306,1944,1111,41,379,214,355,132,178,200,25,321,1751,2288,0,213,1140,0
11,District of Columbia,DC,11001,District of Columbia,11001004704,Census Tract 47.04; District of Columbia; District of Columbia,0.076644721918,1226,825,745,825,235,480,90,0,165,202,179,99,43,1131,546,0,95,461,6
